
sel,,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,,See You Again (feat. Kali Uchis),"Tyler, The Creator",hip hop,2017,2023‑05‑01,79,56,56,-9,11,62,180,37,10,92
2,,All My Life (feat. J. Cole),Lil Durk,chicago drill,2023,2023‑05‑21,143,44,83,-8,10,69,223,15,33,85
3,,LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2020‑03‑24,126,59,80,-7,15,78,213,26,9,84
4,,Mask Off,Future,atl hip hop,2017,2020‑03‑05,150,43,83,-9,17,28,205,1,43,82
5,,Money Trees,Kendrick Lamar,conscious hip hop,2012,2020‑10‑01,72,53,72,-7,22,34,387,7,12,82
6,,N95,Kendrick Lamar,conscious hip hop,2022,2022‑12‑30,140,67,79,-6,12,41,196,38,11,81
7,,Love Is Only a Feeling,Joey Bada$$,conscious hip hop,2017,2022‑03‑09,90,68,63,-7,70,50,152,53,19,80
8,,"Nuthin' But A ""G"" Thang",Snoop Dogg,g funk,2020,2022‑09‑26,95,82,67,-4,15,68,238,0,29,79
9,,Doomsday (with Juice WRLD & Cordae),Lyrical Lemonade,chicago rap,2023,2023‑07‑16,93,73,73,-4,30,89,151,6,20,78
10,,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,east coast hip hop,1993,2020‑03‑02,181,55,48,-11,13,58,252,57,37,77
11,,Many Men (Wish Death),50 Cent,east coast hip hop,2003,2023‑03‑23,162,83,59,-3,14,39,256,1,38,77
12,,Rich Spirit,Kendrick Lamar,conscious hip hop,2022,2023‑05‑01,96,42,85,-9,11,46,202,43,21,77
13,,Regulate,Warren G,g funk,1994,2021‑12‑26,95,52,85,-13,12,76,249,30,22,76
14,,Nikes on My Feet,Mac Miller,hip hop,2010,2020‑10‑01,92,57,80,-5,11,56,165,56,27,75
15,,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,conscious hip hop,2021,2021‑06‑18,89,66,86,-8,10,33,218,10,43,75
16,,Praise The Lord (Da Shine) (feat. Skepta) - Durdenhauer Edit,Durdenhauer,east coast hip hop,2022,2022‑11‑22,148,89,80,-7,13,88,164,19,4,75
17,,Doomsday,MF DOOM,alternative hip hop,1999,2022‑11‑30,95,84,86,-8,8,79,298,10,33,75
18,,Good News,Mac Miller,hip hop,2020,2020‑01‑27,174,32,79,-13,11,24,342,85,17,74
19,,Donald Trump,Mac Miller,hip hop,2016,2020‑10‑01,82,94,72,-5,37,80,165,3,12,74
20,,Dang! (feat. Anderson .Paak),Mac Miller,hip hop,2016,2020‑04‑24,107,67,84,-7,8,56,305,1,23,73
21,,Who Am I (What’s My Name)?,Snoop Dogg,g funk,1993,2022‑11‑02,97,74,73,-6,56,73,246,0,7,73
22,,Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,2022‑11‑19,94,69,90,-4,29,63,230,18,28,72
23,,03' Bonnie & Clyde,JAY-Z,east coast hip hop,2002,2022‑12‑05,90,68,76,-5,15,33,206,23,31,72
24,,Two Tens (feat. Anderson .Paak),Cordae,hip hop,2023,2023‑03‑21,88,55,60,-8,8,67,152,19,35,72
25,,Kool Aid & Frozen Pizza,Mac Miller,hip hop,2010,2020‑10‑01,90,85,66,-5,29,71,158,15,30,71
26,,Ultralight Beam,Kanye West,chicago rap,2016,2022‑08‑07,105,40,59,-9,54,39,321,62,41,71
27,,Surf,Mac Miller,hip hop,2020,2020‑01‑27,147,18,83,-13,15,23,331,75,17,70
28,,Time,Free Nationals,alternative r&b,2019,2020‑03‑02,89,77,47,-7,8,30,210,52,34,69
29,,This D.J.,Warren G,g funk,1994,2021‑04‑08,92,44,80,-10,11,58,203,3,13,69
30,,Biking,Frank Ocean,lgbtq+ hip hop,2017,2020‑02‑17,148,46,67,-7,9,27,278,68,19,68
31,,Rosa Parks,Outkast,atl hip hop,1998,2020‑05‑05,104,70,79,-7,76,25,324,11,28,68
32,,Keep Their Heads Ringin',Dr. Dre,g funk,1995,2023‑04‑02,91,78,67,-4,16,24,306,4,10,68
33,,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,conscious hip hop,2012,2020‑03‑24,134,70,59,-9,44,10,311,2,9,67
34,,All Night (feat. Knox Fortune),Chance the Rapper,chicago rap,2016,2020‑04‑03,112,78,70,-6,15,39,142,4,20,67
35,,Your Heart,Joyner Lucas,boston hip hop,2021,2021‑09‑29,87,64,86,-8,9,75,199,39,13,67
36,,Headshots (4r da Locals),Isaiah Rashad,hip hop,2021,2022‑12‑02,120,62,89,-6,31,66,193,3,8,67
37,,These Walls,Kendrick Lamar,conscious hip hop,2015,2023‑02‑28,108,49,75,-5,20,37,301,11,14,67
38,,CrasH,ScHoolboy Q,gangster rap,2019,2020‑03‑12,132,64,83,-6,9,79,161,3,18,66
39,,Fire Squad,J. Cole,conscious hip hop,2014,2021‑12‑15,176,76,55,-7,51,57,288,28,42,66
40,,Ten Crack Commandments - 2014 Remaster,The Notorious B.I.G.,east coast hip hop,1997,2022‑02‑10,173,85,61,-5,26,78,204,4,50,65
41,,Mama Said Knock You Out,LL COOL J,east coast hip hop,1990,2023‑03‑30,102,76,79,-7,26,62,290,3,13,65
42,,Kush - Main,Dr. Dre,g funk,2010,2023‑04‑02,95,87,44,-6,11,38,235,0,11,65
43,,Wanna Get To Know You,G-Unit,gangster rap,2003,2020‑07‑14,77,83,51,-4,7,89,265,11,13,64
44,,The Hop,A Tribe Called Quest,conscious hip hop,1996,2020‑10‑13,96,52,93,-6,17,62,207,7,36,64
45,,Purple,Nas,conscious hip hop,2002,2021‑11‑18,97,60,87,-7,9,82,219,4,23,64
46,,Outta Control - Remix,50 Cent,east coast hip hop,2005,2023‑04‑13,92,60,77,-6,8,56,248,3,25,64
47,,100 Grandkids,Mac Miller,hip hop,2015,2023‑05‑16,94,75,74,-4,47,37,279,37,9,64
48,,What's That?,Joyner Lucas,boston hip hop,2023,2023‑05‑16,132,61,87,-8,37,58,208,6,19,64
49,,"Yo Love - From ""Queen & Slim: The Soundtrack""",Vince Staples,conscious hip hop,2019,2020‑02‑19,147,57,70,-9,10,49,144,56,7,63
50,,Workin Out,JID,hip hop,2018,2020‑03‑02,127,57,82,-8,19,56,227,38,28,63
51,,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,conscious hip hop,2021,2021‑06‑18,95,70,56,-6,21,29,239,13,7,63
52,,p u n c h i n ‘ . t h e . c l o c k,J. Cole,conscious hip hop,2021,2021‑06‑24,94,74,77,-7,17,69,113,20,38,63
53,,Jazz (We've Got),A Tribe Called Quest,conscious hip hop,1991,2022‑12‑04,92,48,82,-16,12,72,250,72,27,63
54,,Everybody,Mac Miller,hip hop,2020,2020‑01‑23,152,60,88,-9,11,11,257,3,14,62
55,,Machine Gun Funk - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,2022‑02‑10,94,74,84,-5,9,31,256,10,30,62
56,,Hood Politics,Kendrick Lamar,conscious hip hop,2015,2020‑03‑24,88,66,73,-7,12,37,293,14,38,61
57,,Jump Out The Window,Big Sean,detroit hip hop,2017,2020‑03‑27,137,70,75,-7,13,49,214,14,10,61
58,,Street Talkin',Slick Rick,bronx hip hop,1999,2020‑10‑05,102,50,93,-7,9,84,221,5,35,61
59,,Going Back to Cali - 2014 Remaster,The Notorious B.I.G.,east coast hip hop,1997,2022‑02‑10,99,65,85,-6,4,60,307,21,34,61
60,,Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,2022‑02‑18,96,82,87,-5,15,79,301,48,26,61
61,,My Advice 2 You,Gang Starr,alternative hip hop,1998,2022‑12‑01,89,70,79,-5,12,69,152,9,25,61
62,,everybody dies,J. Cole,conscious hip hop,2016,2022‑12‑02,83,69,78,-9,11,57,162,28,20,61
63,,Loungin (Who Do Ya Luv) - Remix,LL COOL J,east coast hip hop,1995,2023‑03‑30,100,58,82,-10,23,50,229,43,17,61
64,,Daydreaming,NxWorries,alternative r&b,2023,2023‑05‑29,74,58,68,-10,7,44,187,22,3,61
65,,What They Do,The Roots,conscious hip hop,1996,2020‑12‑23,93,41,89,-11,9,68,357,34,17,60
66,,500 Benz,Joey Bada$$,conscious hip hop,2017,2020‑12‑23,88,76,68,-8,11,62,202,19,20,60
67,,St. Tropez,J. Cole,conscious hip hop,2014,2022‑12‑11,85,54,63,-10,7,32,258,5,7,60
68,,MOVIN',Bluestaeb,chillhop,2021,2023‑03‑08,164,53,71,-10,12,60,153,67,27,60
